etf,date,code,name,shares,weight
00980A,2026-05-20,2330,台灣積體電路製造,645000,8.55
00980A,2026-05-20,2308,台達電子工業,459000,5.33
00980A,2026-05-20,2454,聯發科技,188000,3.68
00980A,2026-05-20,2383,台光電子材料,134000,3.57
00980A,2026-05-20,2345,智邦科技,227000,3.24
00980A,2026-05-20,7769,鴻勁精密,74000,3.13
00980A,2026-05-20,2360,致茂電子,248000,3.11
00980A,2026-05-20,2368,金像電子（股）公司,393000,2.94
00980A,2026-05-20,3037,欣興電子,562000,2.8
00980A,2026-05-20,2408,南亞科技,1646000,2.74
00980A,2026-05-20,3017,奇鋐科技,184000,2.61
00980A,2026-05-20,2344,華邦電子,3621000,2.54
00980A,2026-05-20,6223,旺矽科技,71000,2.45
00980A,2026-05-20,5274,信驊科技,25000,2.36
00980A,2026-05-20,2059,川湖科技,82000,2.24
00980A,2026-05-20,2317,鴻海精密工業,1506000,2.19
00980A,2026-05-20,8299,群聯電子,150000,2.06
00980A,2026-05-20,6515,穎崴科技,37000,2.04
00980A,2026-05-20,6669,緯穎科技服務,68000,2.02
00980A,2026-05-20,3081,聯亞光電工業,127000,1.99
00980A,2026-05-20,3443,創意電子,70000,1.95
00980A,2026-05-20,8210,勤誠興業,236000,1.84
00980A,2026-05-20,3036,文曄科技,1067000,1.81
00980A,2026-05-20,3711,日月光投資控股,584000,1.69
00980A,2026-05-20,6805,富世達,161000,1.68
00980A,2026-05-20,6274,台燿科技,222000,1.62
00980A,2026-05-20,2382,廣達電腦,899000,1.58
00980A,2026-05-20,8996,高力熱處理工業,221000,1.33
00980A,2026-05-20,2376,技嘉科技,577000,1.06
00980A,2026-05-20,2891,中國信託金融控股,2849000,1.0
00980A,2026-05-20,3231,緯創資通,1228000,0.99
00980A,2026-05-20,6831,邁科科技,224000,0.98
00980A,2026-05-20,3293,鈊象電子,220000,0.97
00980A,2026-05-20,3189,景碩科技,305000,0.93
00980A,2026-05-20,3044,健鼎科技,276000,0.77
00980A,2026-05-20,6442,光紅建聖,71000,0.76
00980A,2026-05-20,2884,玉山金融控股,3867622,0.74
00980A,2026-05-20,3653,健策精密工業,38000,0.7
00980A,2026-05-20,3665,貿聯控股（BizLink Holding In,53336,0.64
00980A,2026-05-20,5904,寶雅國際,179450,0.61
00980A,2026-05-20,6584,南俊國際,153000,0.58
00980A,2026-05-20,2548,華固建設,512000,0.38
00980A,2026-05-20,1477,聚陽實業,201000,0.26
00980A,2026-05-20,3264,欣銓科技,172000,0.22
00980A,2026-05-20,3533,嘉澤端子工業,13000,0.19
00980A,2026-05-20,4915,致伸科技,298000,0.13
00980A,2026-05-21,2330,台灣積體電路製造,645000,8.55
00980A,2026-05-21,2308,台達電子工業,459000,5.33
00980A,2026-05-21,2454,聯發科技,188000,3.68
00980A,2026-05-21,2383,台光電子材料,134000,3.57
00980A,2026-05-21,2345,智邦科技,227000,3.24
00980A,2026-05-21,7769,鴻勁精密,74000,3.13
00980A,2026-05-21,2360,致茂電子,248000,3.11
00980A,2026-05-21,2368,金像電子（股）公司,393000,2.94
00980A,2026-05-21,3037,欣興電子,562000,2.8
00980A,2026-05-21,2408,南亞科技,1646000,2.74
00980A,2026-05-21,3017,奇鋐科技,184000,2.61
00980A,2026-05-21,2344,華邦電子,3621000,2.54
00980A,2026-05-21,6223,旺矽科技,71000,2.45
00980A,2026-05-21,5274,信驊科技,25000,2.36
00980A,2026-05-21,2059,川湖科技,82000,2.24
00980A,2026-05-21,2317,鴻海精密工業,1506000,2.19
00980A,2026-05-21,8299,群聯電子,150000,2.06
00980A,2026-05-21,6515,穎崴科技,37000,2.04
00980A,2026-05-21,6669,緯穎科技服務,68000,2.02
00980A,2026-05-21,3081,聯亞光電工業,127000,1.99
00980A,2026-05-21,3443,創意電子,70000,1.95
00980A,2026-05-21,8210,勤誠興業,236000,1.84
00980A,2026-05-21,3036,文曄科技,1067000,1.81
00980A,2026-05-21,3711,日月光投資控股,584000,1.69
00980A,2026-05-21,6805,富世達,161000,1.68
00980A,2026-05-21,6274,台燿科技,222000,1.62
00980A,2026-05-21,2382,廣達電腦,899000,1.58
00980A,2026-05-21,8996,高力熱處理工業,221000,1.33
00980A,2026-05-21,2376,技嘉科技,577000,1.06
00980A,2026-05-21,2891,中國信託金融控股,2849000,1.0
00980A,2026-05-21,3231,緯創資通,1228000,0.99
00980A,2026-05-21,6831,邁科科技,224000,0.98
00980A,2026-05-21,3293,鈊象電子,220000,0.97
00980A,2026-05-21,3189,景碩科技,305000,0.93
00980A,2026-05-21,3044,健鼎科技,276000,0.77
00980A,2026-05-21,6442,光紅建聖,71000,0.76
00980A,2026-05-21,2884,玉山金融控股,3867622,0.74
00980A,2026-05-21,3653,健策精密工業,38000,0.7
00980A,2026-05-21,3665,貿聯控股（BizLink Holding In,53336,0.64
00980A,2026-05-21,5904,寶雅國際,179450,0.61
00980A,2026-05-21,6584,南俊國際,153000,0.58
00980A,2026-05-21,2548,華固建設,512000,0.38
00980A,2026-05-21,1477,聚陽實業,201000,0.26
00980A,2026-05-21,3264,欣銓科技,172000,0.22
00980A,2026-05-21,3533,嘉澤端子工業,13000,0.19
00980A,2026-05-21,4915,致伸科技,298000,0.13
00980A,2026-05-22,2330,台灣積體電路製造,645000,8.19
00980A,2026-05-22,2308,台達電子工業,459000,5.42
00980A,2026-05-22,2454,聯發科技,188000,4.09
00980A,2026-05-22,2383,台光電子材料,134000,3.78
00980A,2026-05-22,7769,鴻勁精密,74000,3.22
00980A,2026-05-22,2360,致茂電子,248000,3.17
00980A,2026-05-22,2345,智邦科技,227000,3.16
00980A,2026-05-22,3037,欣興電子,562000,3.07
00980A,2026-05-22,2368,金像電子（股）公司,393000,2.94
00980A,2026-05-22,2408,南亞科技,1646000,2.88
00980A,2026-05-22,3017,奇鋐科技,184000,2.64
00980A,2026-05-22,2344,華邦電子,3621000,2.55
00980A,2026-05-22,5274,信驊科技,25000,2.5
00980A,2026-05-22,6223,旺矽科技,71000,2.41
00980A,2026-05-22,2059,川湖科技,82000,2.35
00980A,2026-05-22,2317,鴻海精密工業,1506000,2.12
00980A,2026-05-22,6669,緯穎科技服務,68000,2.12
00980A,2026-05-22,8299,群聯電子,150000,2.05
00980A,2026-05-22,3443,創意電子,70000,2.03
00980A,2026-05-22,3081,聯亞光電工業,127000,1.94
00980A,2026-05-22,3711,日月光投資控股,584000,1.85
00980A,2026-05-22,6274,台燿科技,222000,1.82
00980A,2026-05-22,6515,穎崴科技,37000,1.81
00980A,2026-05-22,8210,勤誠興業,236000,1.79
00980A,2026-05-22,3036,文曄科技,1067000,1.74
00980A,2026-05-22,6805,富世達,161000,1.63
00980A,2026-05-22,2382,廣達電腦,899000,1.6
00980A,2026-05-22,8996,高力熱處理工業,221000,1.46
00980A,2026-05-22,2376,技嘉科技,577000,1.05
00980A,2026-05-22,3189,景碩科技,305000,1.05
00980A,2026-05-22,3231,緯創資通,1228000,1.0
00980A,2026-05-22,6831,邁科科技,224000,0.99
00980A,2026-05-22,3293,鈊象電子,220000,0.93
00980A,2026-05-22,2891,中國信託金融控股,2849000,0.92
00980A,2026-05-22,3653,健策精密工業,38000,0.78
00980A,2026-05-22,3044,健鼎科技,276000,0.76
00980A,2026-05-22,6442,光紅建聖,71000,0.75
00980A,2026-05-22,2884,玉山金融控股,3867622,0.68
00980A,2026-05-22,3665,貿聯控股（BizLink Holding In,53336,0.67
00980A,2026-05-22,6584,南俊國際,153000,0.59
00980A,2026-05-22,5904,寶雅國際,179450,0.57
00980A,2026-05-22,2548,華固建設,512000,0.36
00980A,2026-05-22,1477,聚陽實業,201000,0.25
00980A,2026-05-22,3264,欣銓科技,172000,0.21
00980A,2026-05-22,3533,嘉澤端子工業,13000,0.19
00980A,2026-05-22,4915,致伸科技,298000,0.12
00980A,2026-05-23,2330,台灣積體電路製造,645000,8.19
00980A,2026-05-23,2308,台達電子工業,459000,5.42
00980A,2026-05-23,2454,聯發科技,188000,4.09
00980A,2026-05-23,2383,台光電子材料,134000,3.78
00980A,2026-05-23,7769,鴻勁精密,74000,3.22
00980A,2026-05-23,2360,致茂電子,248000,3.17
00980A,2026-05-23,2345,智邦科技,227000,3.16
00980A,2026-05-23,3037,欣興電子,562000,3.07
00980A,2026-05-23,2368,金像電子（股）公司,393000,2.94
00980A,2026-05-23,2408,南亞科技,1646000,2.88
00980A,2026-05-23,3017,奇鋐科技,184000,2.64
00980A,2026-05-23,2344,華邦電子,3621000,2.55
00980A,2026-05-23,5274,信驊科技,25000,2.5
00980A,2026-05-23,6223,旺矽科技,71000,2.41
00980A,2026-05-23,2059,川湖科技,82000,2.35
00980A,2026-05-23,2317,鴻海精密工業,1506000,2.12
00980A,2026-05-23,6669,緯穎科技服務,68000,2.12
00980A,2026-05-23,8299,群聯電子,150000,2.05
00980A,2026-05-23,3443,創意電子,70000,2.03
00980A,2026-05-23,3081,聯亞光電工業,127000,1.94
00980A,2026-05-23,3711,日月光投資控股,584000,1.85
00980A,2026-05-23,6274,台燿科技,222000,1.82
00980A,2026-05-23,6515,穎崴科技,37000,1.81
00980A,2026-05-23,8210,勤誠興業,236000,1.79
00980A,2026-05-23,3036,文曄科技,1067000,1.74
00980A,2026-05-23,6805,富世達,161000,1.63
00980A,2026-05-23,2382,廣達電腦,899000,1.6
00980A,2026-05-23,8996,高力熱處理工業,221000,1.46
00980A,2026-05-23,2376,技嘉科技,577000,1.05
00980A,2026-05-23,3189,景碩科技,305000,1.05
00980A,2026-05-23,3231,緯創資通,1228000,1.0
00980A,2026-05-23,6831,邁科科技,224000,0.99
00980A,2026-05-23,3293,鈊象電子,220000,0.93
00980A,2026-05-23,2891,中國信託金融控股,2849000,0.92
00980A,2026-05-23,3653,健策精密工業,38000,0.78
00980A,2026-05-23,3044,健鼎科技,276000,0.76
00980A,2026-05-23,6442,光紅建聖,71000,0.75
00980A,2026-05-23,2884,玉山金融控股,3867622,0.68
00980A,2026-05-23,3665,貿聯控股（BizLink Holding In,53336,0.67
00980A,2026-05-23,6584,南俊國際,153000,0.59
00980A,2026-05-23,5904,寶雅國際,179450,0.57
00980A,2026-05-23,2548,華固建設,512000,0.36
00980A,2026-05-23,1477,聚陽實業,201000,0.25
00980A,2026-05-23,3264,欣銓科技,172000,0.21
00980A,2026-05-23,3533,嘉澤端子工業,13000,0.19
00980A,2026-05-23,4915,致伸科技,298000,0.12
