etf,date,code,name,shares,weight
00988A,2026-05-19,MU US,MICRON TECHNOLOGY INC,77000.0,4.68
00988A,2026-05-19,SNDK US,SANDISK CORP,38000.0,4.57
00988A,2026-05-19,LITE US,LUMENTUM HOLDINGS INC,55000.0,4.26
00988A,2026-05-19,AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),110000.0,3.96
00988A,2026-05-19,BE US,BLOOM ENERGY CORP- A,170000.0,3.87
00988A,2026-05-19,6787 JP,MEIKO ELECTRONICS CO LTD,165000.0,3.33
00988A,2026-05-19,009150 KS,Samsung Electro-Mechanics co(009150 ks),60000.0,3.31
00988A,2026-05-19,2383,台光電,248000.0,3.09
00988A,2026-05-19,3037,欣興,1300000.0,2.92
00988A,2026-05-19,5801 JP,FURUKAWA ELECTRIC CO LTD,100000.0,2.75
00988A,2026-05-19,2454,聯發科,315000.0,2.73
00988A,2026-05-19,5706 JP,Mitsui Mining ＆ Smelting Co,110000.0,2.7
00988A,2026-05-19,285A JP,KIOXIA HOLDINGS CORP,95000.0,2.59
00988A,2026-05-19,CIEN US,CIENA CORP,52000.0,2.45
00988A,2026-05-19,2330,台積電,400000.0,2.42
00988A,2026-05-19,4062 JP,IBIDEN CO LTD,275000.0,2.3
00988A,2026-05-19,MRVL US,MARVELL TECHNOLOGY INC,148000.0,2.27
00988A,2026-05-19,WDC US,WESTERN DIGITAL CORP,57000.0,2.26
00988A,2026-05-19,7826 JP,FURUYA METAL CO LTD,374300.0,2.1
00988A,2026-05-19,COHR US,COHERENT INC,68000.0,2.09
00988A,2026-05-19,6515,穎崴,80000.0,2.09
00988A,2026-05-19,6997 JP,NIPPON CHEMI-CON CORP,1200000.0,2.01
00988A,2026-05-19,5274,信驊,46000.0,2.01
00988A,2026-05-19,IFX GY,INFINEON TECHNOLOGIES AG,300000.0,1.96
00988A,2026-05-19,GLW US,CORNING INC,112500.0,1.72
00988A,2026-05-19,6981 JP,MURATA MANUFACTURING CO LTD,500000.0,1.69
00988A,2026-05-19,GEV US,GE VERNOVA INC,19000.0,1.67
00988A,2026-05-19,2308,台達電,307000.0,1.62
00988A,2026-05-19,AIXA GY,AIXTRON SE,305000.0,1.54
00988A,2026-05-19,GOOGL US,ALPHABET INC-CL A(Alphabet公司),44000.0,1.48
00988A,2026-05-19,NVDA US,NVIDIA CORP(輝達公司),75000.0,1.44
00988A,2026-05-19,3711,日月光投控,1100000.0,1.43
00988A,2026-05-19,6223,旺矽,90000.0,1.42
00988A,2026-05-19,3017,奇鋐,215000.0,1.41
00988A,2026-05-19,ENR GY,SIEMENS ENERGY AG,75000.0,1.27
00988A,2026-05-19,AAOI US,APPLIED OPTOELECTRONICS INC,79677.0,1.19
00988A,2026-05-19,HOT GY,HOCHTIEF AG,20000.0,0.93
00988A,2026-05-19,AVGO US,BROADCOM LTD,25000.0,0.89
00988A,2026-05-19,NOK US,NOKIA CORP-SPON ADR,750000.0,0.89
00988A,2026-05-19,AXTI US,AXT INC,90000.0,0.88
00988A,2026-05-19,SOI FP,S.O.I.T.E.C.,60000.0,0.87
00988A,2026-05-19,603256 CH,GRACE FABRIC TECHNOLOGY CO-A,450000.0,0.79
00988A,2026-05-19,6274,台燿,230000.0,0.77
00988A,2026-05-19,6869 HK,YANGTZE OPTICAL FIBRE AND-H,260000.0,0.68
00988A,2026-05-19,7769,鴻勁,36000.0,0.65
00988A,2026-05-19,VIAV US,VIAVI SOLUTIONS INC,150000.0,0.64
00988A,2026-05-19,VSH US,VISHAY INTERTECHNOLOGY INC,200000.0,0.64
00988A,2026-05-19,2360,致茂,110000.0,0.62
00988A,2026-05-20,MU US,MICRON TECHNOLOGY INC,78500.0,4.93
00988A,2026-05-20,SNDK US,SANDISK CORP,38000.0,4.54
00988A,2026-05-20,AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),110000.0,4.22
00988A,2026-05-20,BE US,BLOOM ENERGY CORP- A,170000.0,4.12
00988A,2026-05-20,LITE US,LUMENTUM HOLDINGS INC,55000.0,4.09
00988A,2026-05-20,009150 KS,Samsung Electro-Mechanics co(009150 ks),60000.0,3.7
00988A,2026-05-20,6787 JP,MEIKO ELECTRONICS CO LTD,175000.0,3.34
00988A,2026-05-20,2383,台光電,248000.0,2.95
00988A,2026-05-20,3037,欣興,1300000.0,2.9
00988A,2026-05-20,2454,聯發科,315000.0,2.76
00988A,2026-05-20,5801 JP,FURUKAWA ELECTRIC CO LTD,100000.0,2.74
00988A,2026-05-20,285A JP,KIOXIA HOLDINGS CORP,95000.0,2.63
00988A,2026-05-20,5706 JP,Mitsui Mining ＆ Smelting Co,110000.0,2.63
00988A,2026-05-20,MRVL US,MARVELL TECHNOLOGY INC,160000.0,2.56
00988A,2026-05-20,CIEN US,CIENA CORP,52000.0,2.47
00988A,2026-05-20,2330,台積電,400000.0,2.37
00988A,2026-05-20,4062 JP,IBIDEN CO LTD,275000.0,2.32
00988A,2026-05-20,WDC US,WESTERN DIGITAL CORP,57000.0,2.25
00988A,2026-05-20,COHR US,COHERENT INC,68000.0,2.09
00988A,2026-05-20,IFX GY,INFINEON TECHNOLOGIES AG,300000.0,2.03
00988A,2026-05-20,6515,穎崴,80000.0,1.97
00988A,2026-05-20,6997 JP,NIPPON CHEMI-CON CORP,1200000.0,1.94
00988A,2026-05-20,5274,信驊,46000.0,1.94
00988A,2026-05-20,7826 JP,FURUYA METAL CO LTD,374300.0,1.92
00988A,2026-05-20,GLW US,CORNING INC,112500.0,1.74
00988A,2026-05-20,GEV US,GE VERNOVA INC,19000.0,1.67
00988A,2026-05-20,6981 JP,MURATA MANUFACTURING CO LTD,500000.0,1.66
00988A,2026-05-20,AIXA GY,AIXTRON SE,305000.0,1.59
00988A,2026-05-20,2308,台達電,307000.0,1.59
00988A,2026-05-20,GOOGL US,ALPHABET INC-CL A(Alphabet公司),44000.0,1.47
00988A,2026-05-20,NVDA US,NVIDIA CORP(輝達公司),75000.0,1.44
00988A,2026-05-20,3711,日月光投控,1100000.0,1.42
00988A,2026-05-20,6223,旺矽,90000.0,1.38
00988A,2026-05-20,3017,奇鋐,215000.0,1.36
00988A,2026-05-20,ENR GY,SIEMENS ENERGY AG,75000.0,1.3
00988A,2026-05-20,AAOI US,APPLIED OPTOELECTRONICS INC,79677.0,1.13
00988A,2026-05-20,HOT GY,HOCHTIEF AG,20000.0,0.96
00988A,2026-05-20,SOI FP,S.O.I.T.E.C.,60000.0,0.94
00988A,2026-05-20,AVGO US,BROADCOM LTD,25000.0,0.9
00988A,2026-05-20,NOK US,NOKIA CORP-SPON ADR,750000.0,0.88
00988A,2026-05-20,603256 CH,GRACE FABRIC TECHNOLOGY CO-A,450000.0,0.82
00988A,2026-05-20,AXTI US,AXT INC,90000.0,0.81
00988A,2026-05-20,6274,台燿,230000.0,0.75
00988A,2026-05-20,VSH US,VISHAY INTERTECHNOLOGY INC,200000.0,0.69
00988A,2026-05-20,7769,鴻勁,36000.0,0.68
00988A,2026-05-20,6869 HK,YANGTZE OPTICAL FIBRE AND-H,260000.0,0.66
00988A,2026-05-20,VIAV US,VIAVI SOLUTIONS INC,150000.0,0.62
00988A,2026-05-20,2360,致茂,110000.0,0.62
