etf,date,code,name,shares,weight
00982A,2026-05-20,2330,台積電,1937000,8.58
00982A,2026-05-20,5536,聖暉*,3654000,6.78
00982A,2026-05-20,2383,台光電,444000,3.96
00982A,2026-05-20,2345,智邦,821000,3.92
00982A,2026-05-20,3264,欣銓,9348000,3.91
00982A,2026-05-20,2454,聯發科,570000,3.73
00982A,2026-05-20,3105,穩懋,4118000,3.73
00982A,2026-05-20,6669,緯穎,373000,3.71
00982A,2026-05-20,6223,旺矽,318000,3.66
00982A,2026-05-20,6139,亞翔,2463000,3.59
00982A,2026-05-20,2360,致茂,851000,3.56
00982A,2026-05-20,3491,昇達科,980000,3.49
00982A,2026-05-20,6147,頎邦,6092000,2.66
00982A,2026-05-20,6257,矽格,5984000,2.51
00982A,2026-05-20,4958,臻鼎-KY,2770000,2.46
00982A,2026-05-20,6285,啟碁,4160000,2.35
00982A,2026-05-20,2059,川湖,246000,2.24
00982A,2026-05-20,6488,環球晶,1614000,2.09
00982A,2026-05-20,3017,奇鋐,420000,1.99
00982A,2026-05-20,2303,聯電,8492000,1.86
00982A,2026-05-20,3583,辛耘,1088000,1.82
00982A,2026-05-20,2472,立隆電,3126000,1.62
00982A,2026-05-20,2467,志聖,1425000,1.6
00982A,2026-05-20,1785,光洋科,5481000,1.53
00982A,2026-05-20,3008,大立光,184000,1.19
00982A,2026-05-20,2308,台達電,299000,1.16
00982A,2026-05-20,6274,台燿,455000,1.11
00982A,2026-05-20,8016,矽創,1649000,0.95
00982A,2026-05-20,3711,日月光投控,954000,0.92
00982A,2026-05-20,7769,鴻勁,64000,0.91
00982A,2026-05-20,2327,國巨*,850000,0.9
00982A,2026-05-20,3036,文曄,1581000,0.89
00982A,2026-05-20,6510,精測,126000,0.86
00982A,2026-05-20,6278,台表科,1961000,0.81
00982A,2026-05-20,2404,漢唐,384000,0.8
00982A,2026-05-20,2368,金像電,314000,0.79
00982A,2026-05-20,8996,高力,389000,0.78
00982A,2026-05-20,2316,楠梓電,2796000,0.78
00982A,2026-05-20,2347,聯強,3834000,0.65
00982A,2026-05-20,6531,愛普*,259000,0.51
00982A,2026-05-20,5289,宜鼎,110000,0.37
00982A,2026-05-20,3533,嘉澤,75000,0.36
00982A,2026-05-20,3030,德律,461000,0.32
00982A,2026-05-20,5274,信驊,9000,0.28
00982A,2026-05-20,3702,大聯大,1059000,0.26
00982A,2026-05-20,3211,順達,321000,0.23
00982A,2026-05-20,2313,華通,432000,0.22
00982A,2026-05-20,2351,順德,599000,0.22
00982A,2026-05-20,2451,創見,340000,0.21
00982A,2026-05-20,6831,邁科,143000,0.21
00982A,2026-05-20,2376,技嘉,339000,0.21
00982A,2026-05-20,2377,微星,929000,0.21
00982A,2026-05-20,8046,南電,107000,0.18
00982A,2026-05-20,6177,達麗,1762350,0.16
00982A,2026-05-20,3376,新日興,371000,0.15
00982A,2026-05-20,2885,元大金,1150420,0.13
00982A,2026-05-20,3665,貿聯-KY,21136,0.08
00982A,2026-05-20,3131,弘塑,15000,0.08
00982A,2026-05-20,4938,和碩,470000,0.07
00982A,2026-05-20,8464,億豐,52000,0.03
00982A,2026-05-20,1319,東陽,124000,0.02
00982A,2026-05-20,3443,創意,1000,0.01
00982A,2026-05-20,4441,振大環球,23000,0.01
00982A,2026-05-20,6805,富世達,1000,0.0
00982A,2026-05-20,8358,金居,1000,0.0
00982A,2026-05-20,1519,華城,600,0.0
00982A,2026-05-20,2548,華固,2000,0.0
00982A,2026-05-20,3706,神達,1400,0.0
00982A,2026-05-20,2881,富邦金,250,0.0
00982A,2026-05-20,2886,兆豐金,1000,0.0
00982A,2026-05-21,2330,台積電,1937000,8.58
00982A,2026-05-21,5536,聖暉*,3654000,6.78
00982A,2026-05-21,2383,台光電,444000,3.96
00982A,2026-05-21,2345,智邦,821000,3.92
00982A,2026-05-21,3264,欣銓,9348000,3.91
00982A,2026-05-21,2454,聯發科,570000,3.73
00982A,2026-05-21,3105,穩懋,4118000,3.73
00982A,2026-05-21,6669,緯穎,373000,3.71
00982A,2026-05-21,6223,旺矽,318000,3.66
00982A,2026-05-21,6139,亞翔,2463000,3.59
00982A,2026-05-21,2360,致茂,851000,3.56
00982A,2026-05-21,3491,昇達科,980000,3.49
00982A,2026-05-21,6147,頎邦,6092000,2.66
00982A,2026-05-21,6257,矽格,5984000,2.51
00982A,2026-05-21,4958,臻鼎-KY,2770000,2.46
00982A,2026-05-21,6285,啟碁,4160000,2.35
00982A,2026-05-21,2059,川湖,246000,2.24
00982A,2026-05-21,6488,環球晶,1614000,2.09
00982A,2026-05-21,3017,奇鋐,420000,1.99
00982A,2026-05-21,2303,聯電,8492000,1.86
00982A,2026-05-21,3583,辛耘,1088000,1.82
00982A,2026-05-21,2472,立隆電,3126000,1.62
00982A,2026-05-21,2467,志聖,1425000,1.6
00982A,2026-05-21,1785,光洋科,5481000,1.53
00982A,2026-05-21,3008,大立光,184000,1.19
00982A,2026-05-21,2308,台達電,299000,1.16
00982A,2026-05-21,6274,台燿,455000,1.11
00982A,2026-05-21,8016,矽創,1649000,0.95
00982A,2026-05-21,3711,日月光投控,954000,0.92
00982A,2026-05-21,7769,鴻勁,64000,0.91
00982A,2026-05-21,2327,國巨*,850000,0.9
00982A,2026-05-21,3036,文曄,1581000,0.89
00982A,2026-05-21,6510,精測,126000,0.86
00982A,2026-05-21,6278,台表科,1961000,0.81
00982A,2026-05-21,2404,漢唐,384000,0.8
00982A,2026-05-21,2368,金像電,314000,0.79
00982A,2026-05-21,8996,高力,389000,0.78
00982A,2026-05-21,2316,楠梓電,2796000,0.78
00982A,2026-05-21,2347,聯強,3834000,0.65
00982A,2026-05-21,6531,愛普*,259000,0.51
00982A,2026-05-21,5289,宜鼎,110000,0.37
00982A,2026-05-21,3533,嘉澤,75000,0.36
00982A,2026-05-21,3030,德律,461000,0.32
00982A,2026-05-21,5274,信驊,9000,0.28
00982A,2026-05-21,3702,大聯大,1059000,0.26
00982A,2026-05-21,3211,順達,321000,0.23
00982A,2026-05-21,2313,華通,432000,0.22
00982A,2026-05-21,2351,順德,599000,0.22
00982A,2026-05-21,2451,創見,340000,0.21
00982A,2026-05-21,6831,邁科,143000,0.21
00982A,2026-05-21,2376,技嘉,339000,0.21
00982A,2026-05-21,2377,微星,929000,0.21
00982A,2026-05-21,8046,南電,107000,0.18
00982A,2026-05-21,6177,達麗,1762350,0.16
00982A,2026-05-21,3376,新日興,371000,0.15
00982A,2026-05-21,2885,元大金,1150420,0.13
00982A,2026-05-21,3665,貿聯-KY,21136,0.08
00982A,2026-05-21,3131,弘塑,15000,0.08
00982A,2026-05-21,4938,和碩,470000,0.07
00982A,2026-05-21,8464,億豐,52000,0.03
00982A,2026-05-21,1319,東陽,124000,0.02
00982A,2026-05-21,3443,創意,1000,0.01
00982A,2026-05-21,4441,振大環球,23000,0.01
00982A,2026-05-21,6805,富世達,1000,0.0
00982A,2026-05-21,8358,金居,1000,0.0
00982A,2026-05-21,1519,華城,600,0.0
00982A,2026-05-21,2548,華固,2000,0.0
00982A,2026-05-21,3706,神達,1400,0.0
00982A,2026-05-21,2881,富邦金,250,0.0
00982A,2026-05-21,2886,兆豐金,1000,0.0
00982A,2026-05-22,2330,台積電,1937000,8.28
00982A,2026-05-22,5536,聖暉*,3872000,6.81
00982A,2026-05-22,2454,聯發科,890000,6.51
00982A,2026-05-22,3105,穩懋,4118000,4.15
00982A,2026-05-22,6139,亞翔,2763000,4.03
00982A,2026-05-22,3264,欣銓,9348000,3.93
00982A,2026-05-22,2345,智邦,831000,3.89
00982A,2026-05-22,2360,致茂,851000,3.66
00982A,2026-05-22,6223,旺矽,318000,3.64
00982A,2026-05-22,3491,昇達科,980000,3.59
00982A,2026-05-22,2383,台光電,342000,3.25
00982A,2026-05-22,6669,緯穎,306000,3.21
00982A,2026-05-22,4958,臻鼎-KY,3254000,3.18
00982A,2026-05-22,6147,頎邦,6092000,2.49
00982A,2026-05-22,2059,川湖,246000,2.37
00982A,2026-05-22,6285,啟碁,4160000,2.33
00982A,2026-05-22,6257,矽格,4846000,2.04
00982A,2026-05-22,3017,奇鋐,420000,2.03
00982A,2026-05-22,2303,聯電,9288000,2.01
00982A,2026-05-22,3583,辛耘,1160000,1.92
00982A,2026-05-22,2467,志聖,1512000,1.73
00982A,2026-05-22,6488,環球晶,1179000,1.6
00982A,2026-05-22,1785,光洋科,5717000,1.56
00982A,2026-05-22,2472,立隆電,2870000,1.41
00982A,2026-05-22,7769,鴻勁,96000,1.41
00982A,2026-05-22,3008,大立光,208000,1.4
00982A,2026-05-22,3036,文曄,2391000,1.31
00982A,2026-05-22,8016,矽創,2284000,1.26
00982A,2026-05-22,6274,台燿,455000,1.26
00982A,2026-05-22,3702,大聯大,5605000,1.25
00982A,2026-05-22,3711,日月光投控,996000,1.06
00982A,2026-05-22,6278,台表科,2277000,1.06
00982A,2026-05-22,2368,金像電,406000,1.02
00982A,2026-05-22,2316,楠梓電,3486000,1.01
00982A,2026-05-22,2327,國巨*,850000,1.01
00982A,2026-05-22,2377,微星,4178000,0.98
00982A,2026-05-22,8996,高力,389000,0.86
00982A,2026-05-22,2404,漢唐,384000,0.84
00982A,2026-05-22,6510,精測,126000,0.81
00982A,2026-05-22,6531,愛普*,309000,0.56
00982A,2026-05-22,2351,順德,1393000,0.49
00982A,2026-05-22,6831,邁科,230000,0.34
00982A,2026-05-22,2376,技嘉,548000,0.34
00982A,2026-05-22,2451,創見,535000,0.32
00982A,2026-05-22,5274,信驊,9000,0.3
00982A,2026-05-22,2347,聯強,1729000,0.28
00982A,2026-05-22,8046,南電,107000,0.19
00982A,2026-05-22,3376,新日興,371000,0.15
00982A,2026-05-22,6177,達麗,1712350,0.14
00982A,2026-05-22,2885,元大金,1150420,0.12
00982A,2026-05-22,3443,創意,1000,0.01
00982A,2026-05-22,6805,富世達,1000,0.0
00982A,2026-05-22,4441,振大環球,4000,0.0
00982A,2026-05-22,1519,華城,600,0.0
00982A,2026-05-22,8358,金居,1000,0.0
00982A,2026-05-22,3665,貿聯-KY,136,0.0
00982A,2026-05-22,2548,華固,2000,0.0
00982A,2026-05-22,3706,神達,1400,0.0
00982A,2026-05-22,2886,兆豐金,1000,0.0
00982A,2026-05-22,2881,富邦金,250,0.0
00982A,2026-05-23,2330,台積電,1937000,8.28
00982A,2026-05-23,5536,聖暉*,3872000,6.81
00982A,2026-05-23,2454,聯發科,890000,6.51
00982A,2026-05-23,3105,穩懋,4118000,4.15
00982A,2026-05-23,6139,亞翔,2763000,4.03
00982A,2026-05-23,3264,欣銓,9348000,3.93
00982A,2026-05-23,2345,智邦,831000,3.89
00982A,2026-05-23,2360,致茂,851000,3.66
00982A,2026-05-23,6223,旺矽,318000,3.64
00982A,2026-05-23,3491,昇達科,980000,3.59
00982A,2026-05-23,2383,台光電,342000,3.25
00982A,2026-05-23,6669,緯穎,306000,3.21
00982A,2026-05-23,4958,臻鼎-KY,3254000,3.18
00982A,2026-05-23,6147,頎邦,6092000,2.49
00982A,2026-05-23,2059,川湖,246000,2.37
00982A,2026-05-23,6285,啟碁,4160000,2.33
00982A,2026-05-23,6257,矽格,4846000,2.04
00982A,2026-05-23,3017,奇鋐,420000,2.03
00982A,2026-05-23,2303,聯電,9288000,2.01
00982A,2026-05-23,3583,辛耘,1160000,1.92
00982A,2026-05-23,2467,志聖,1512000,1.73
00982A,2026-05-23,6488,環球晶,1179000,1.6
00982A,2026-05-23,1785,光洋科,5717000,1.56
00982A,2026-05-23,2472,立隆電,2870000,1.41
00982A,2026-05-23,7769,鴻勁,96000,1.41
00982A,2026-05-23,3008,大立光,208000,1.4
00982A,2026-05-23,3036,文曄,2391000,1.31
00982A,2026-05-23,8016,矽創,2284000,1.26
00982A,2026-05-23,6274,台燿,455000,1.26
00982A,2026-05-23,3702,大聯大,5605000,1.25
00982A,2026-05-23,3711,日月光投控,996000,1.06
00982A,2026-05-23,6278,台表科,2277000,1.06
00982A,2026-05-23,2368,金像電,406000,1.02
00982A,2026-05-23,2316,楠梓電,3486000,1.01
00982A,2026-05-23,2327,國巨*,850000,1.01
00982A,2026-05-23,2377,微星,4178000,0.98
00982A,2026-05-23,8996,高力,389000,0.86
00982A,2026-05-23,2404,漢唐,384000,0.84
00982A,2026-05-23,6510,精測,126000,0.81
00982A,2026-05-23,6531,愛普*,309000,0.56
00982A,2026-05-23,2351,順德,1393000,0.49
00982A,2026-05-23,6831,邁科,230000,0.34
00982A,2026-05-23,2376,技嘉,548000,0.34
00982A,2026-05-23,2451,創見,535000,0.32
00982A,2026-05-23,5274,信驊,9000,0.3
00982A,2026-05-23,2347,聯強,1729000,0.28
00982A,2026-05-23,8046,南電,107000,0.19
00982A,2026-05-23,3376,新日興,371000,0.15
00982A,2026-05-23,6177,達麗,1712350,0.14
00982A,2026-05-23,2885,元大金,1150420,0.12
00982A,2026-05-23,3443,創意,1000,0.01
00982A,2026-05-23,6805,富世達,1000,0.0
00982A,2026-05-23,4441,振大環球,4000,0.0
00982A,2026-05-23,1519,華城,600,0.0
00982A,2026-05-23,8358,金居,1000,0.0
00982A,2026-05-23,3665,貿聯-KY,136,0.0
00982A,2026-05-23,2548,華固,2000,0.0
00982A,2026-05-23,3706,神達,1400,0.0
00982A,2026-05-23,2886,兆豐金,1000,0.0
00982A,2026-05-23,2881,富邦金,250,0.0
00982A,2026-05-24,2330,台積電,1937000,8.28
00982A,2026-05-24,5536,聖暉*,3872000,6.81
00982A,2026-05-24,2454,聯發科,890000,6.51
00982A,2026-05-24,3105,穩懋,4118000,4.15
00982A,2026-05-24,6139,亞翔,2763000,4.03
00982A,2026-05-24,3264,欣銓,9348000,3.93
00982A,2026-05-24,2345,智邦,831000,3.89
00982A,2026-05-24,2360,致茂,851000,3.66
00982A,2026-05-24,6223,旺矽,318000,3.64
00982A,2026-05-24,3491,昇達科,980000,3.59
00982A,2026-05-24,2383,台光電,342000,3.25
00982A,2026-05-24,6669,緯穎,306000,3.21
00982A,2026-05-24,4958,臻鼎-KY,3254000,3.18
00982A,2026-05-24,6147,頎邦,6092000,2.49
00982A,2026-05-24,2059,川湖,246000,2.37
00982A,2026-05-24,6285,啟碁,4160000,2.33
00982A,2026-05-24,6257,矽格,4846000,2.04
00982A,2026-05-24,3017,奇鋐,420000,2.03
00982A,2026-05-24,2303,聯電,9288000,2.01
00982A,2026-05-24,3583,辛耘,1160000,1.92
00982A,2026-05-24,2467,志聖,1512000,1.73
00982A,2026-05-24,6488,環球晶,1179000,1.6
00982A,2026-05-24,1785,光洋科,5717000,1.56
00982A,2026-05-24,2472,立隆電,2870000,1.41
00982A,2026-05-24,7769,鴻勁,96000,1.41
00982A,2026-05-24,3008,大立光,208000,1.4
00982A,2026-05-24,3036,文曄,2391000,1.31
00982A,2026-05-24,8016,矽創,2284000,1.26
00982A,2026-05-24,6274,台燿,455000,1.26
00982A,2026-05-24,3702,大聯大,5605000,1.25
00982A,2026-05-24,3711,日月光投控,996000,1.06
00982A,2026-05-24,6278,台表科,2277000,1.06
00982A,2026-05-24,2368,金像電,406000,1.02
00982A,2026-05-24,2316,楠梓電,3486000,1.01
00982A,2026-05-24,2327,國巨*,850000,1.01
00982A,2026-05-24,2377,微星,4178000,0.98
00982A,2026-05-24,8996,高力,389000,0.86
00982A,2026-05-24,2404,漢唐,384000,0.84
00982A,2026-05-24,6510,精測,126000,0.81
00982A,2026-05-24,6531,愛普*,309000,0.56
00982A,2026-05-24,2351,順德,1393000,0.49
00982A,2026-05-24,6831,邁科,230000,0.34
00982A,2026-05-24,2376,技嘉,548000,0.34
00982A,2026-05-24,2451,創見,535000,0.32
00982A,2026-05-24,5274,信驊,9000,0.3
00982A,2026-05-24,2347,聯強,1729000,0.28
00982A,2026-05-24,8046,南電,107000,0.19
00982A,2026-05-24,3376,新日興,371000,0.15
00982A,2026-05-24,6177,達麗,1712350,0.14
00982A,2026-05-24,2885,元大金,1150420,0.12
00982A,2026-05-24,3443,創意,1000,0.01
00982A,2026-05-24,6805,富世達,1000,0.0
00982A,2026-05-24,4441,振大環球,4000,0.0
00982A,2026-05-24,1519,華城,600,0.0
00982A,2026-05-24,8358,金居,1000,0.0
00982A,2026-05-24,3665,貿聯-KY,136,0.0
00982A,2026-05-24,2548,華固,2000,0.0
00982A,2026-05-24,3706,神達,1400,0.0
00982A,2026-05-24,2886,兆豐金,1000,0.0
00982A,2026-05-24,2881,富邦金,250,0.0
00982A,2026-05-25,2330,台積電,1937000,8.15
00982A,2026-05-25,2454,聯發科,890000,6.88
00982A,2026-05-25,5536,聖暉*,3872000,6.69
00982A,2026-05-25,6139,亞翔,2813000,4.13
00982A,2026-05-25,3105,穩懋,4118000,4.07
00982A,2026-05-25,2345,智邦,831000,3.84
00982A,2026-05-25,3264,欣銓,9348000,3.81
00982A,2026-05-25,2360,致茂,851000,3.81
00982A,2026-05-25,3491,昇達科,980000,3.73
00982A,2026-05-25,6223,旺矽,318000,3.59
00982A,2026-05-25,2383,台光電,342000,3.43
00982A,2026-05-25,4958,臻鼎-KY,3254000,3.13
00982A,2026-05-25,6669,緯穎,306000,3.12
00982A,2026-05-25,6147,頎邦,6092000,2.63
00982A,2026-05-25,6285,啟碁,4160000,2.26
00982A,2026-05-25,2059,川湖,246000,2.23
00982A,2026-05-25,2303,聯電,9288000,2.11
00982A,2026-05-25,6257,矽格,4846000,2.04
00982A,2026-05-25,3017,奇鋐,420000,1.97
00982A,2026-05-25,3583,辛耘,1160000,1.93
00982A,2026-05-25,2467,志聖,1512000,1.82
00982A,2026-05-25,6488,環球晶,1179000,1.69
00982A,2026-05-25,1785,光洋科,5717000,1.57
00982A,2026-05-25,2472,立隆電,2870000,1.46
00982A,2026-05-25,3008,大立光,208000,1.46
00982A,2026-05-25,2377,微星,5817000,1.34
00982A,2026-05-25,7769,鴻勁,96000,1.34
00982A,2026-05-25,6274,台燿,455000,1.33
00982A,2026-05-25,3036,文曄,2391000,1.31
00982A,2026-05-25,3702,大聯大,5605000,1.26
00982A,2026-05-25,8016,矽創,2284000,1.21
00982A,2026-05-25,3711,日月光投控,1041000,1.17
00982A,2026-05-25,2316,楠梓電,3486000,1.07
00982A,2026-05-25,2327,國巨*,850000,1.07
00982A,2026-05-25,2368,金像電,406000,1.05
00982A,2026-05-25,6278,台表科,2277000,0.99
00982A,2026-05-25,2404,漢唐,384000,0.87
00982A,2026-05-25,8996,高力,389000,0.8
00982A,2026-05-25,6510,精測,126000,0.79
00982A,2026-05-25,6531,愛普*,309000,0.59
00982A,2026-05-25,2351,順德,1393000,0.5
00982A,2026-05-25,2376,技嘉,548000,0.34
00982A,2026-05-25,6831,邁科,230000,0.33
00982A,2026-05-25,2451,創見,535000,0.3
00982A,2026-05-25,5274,信驊,9000,0.29
00982A,2026-05-25,3376,新日興,371000,0.15
00982A,2026-05-25,2885,元大金,1150420,0.12
