etf,date,code,name,shares,weight
00403A,2026-05-20,2330,台積電,14000000.0,17.44
00403A,2026-05-20,2303,聯電,73400000.0,4.52
00403A,2026-05-20,3017,奇鋐,2920000.0,3.89
00403A,2026-05-20,3037,欣興,8300000.0,3.89
00403A,2026-05-20,2383,台光電,1350000.0,3.38
00403A,2026-05-20,2368,金像電,4160000.0,2.93
00403A,2026-05-20,3711,日月光投控,9940000.0,2.7
00403A,2026-05-20,2345,智邦,1880000.0,2.52
00403A,2026-05-20,2327,國巨*,7750000.0,2.3
00403A,2026-05-20,2308,台達電,1823000.0,1.99
00403A,2026-05-20,6669,緯穎,680000.0,1.9
00403A,2026-05-20,6223,旺矽,560000.0,1.81
00403A,2026-05-20,2344,華邦電,24600000.0,1.62
00403A,2026-05-20,8299,群聯,1163000.0,1.5
00403A,2026-05-20,3665,貿聯-KY,1285000.0,1.44
00403A,2026-05-20,5274,信驊,155000.0,1.37
00403A,2026-05-20,8046,南電,2655000.0,1.25
00403A,2026-05-20,4958,臻鼎-KY,4850000.0,1.21
00403A,2026-05-20,2337,旺宏,14232000.0,1.14
00403A,2026-05-20,3533,嘉澤,850000.0,1.14
00403A,2026-05-20,5347,世界,9911000.0,0.9
00403A,2026-05-20,3653,健策,430000.0,0.74
00403A,2026-05-20,2360,致茂,630000.0,0.74
00403A,2026-05-20,6515,穎崴,140000.0,0.72
00403A,2026-05-20,2882,國泰金,16001000.0,0.71
00403A,2026-05-20,7769,鴻勁,166000.0,0.66
00403A,2026-05-20,2313,華通,4300000.0,0.63
00403A,2026-05-20,6147,頎邦,4700000.0,0.58
00403A,2026-05-20,8996,高力,1000000.0,0.57
00403A,2026-05-20,3044,健鼎,2100000.0,0.55
00403A,2026-05-20,6442,光聖,520000.0,0.52
00403A,2026-05-20,3529,力旺,270000.0,0.52
00403A,2026-05-20,3443,創意,190000.0,0.5
00403A,2026-05-20,3081,聯亞,320000.0,0.47
00403A,2026-05-20,8358,金居,1700000.0,0.45
00403A,2026-05-20,3583,辛耘,900000.0,0.42
00403A,2026-05-20,8210,勤誠,553000.0,0.41
00403A,2026-05-20,6805,富世達,400000.0,0.39
00403A,2026-05-20,2891,中信金,11801000.0,0.39
00403A,2026-05-20,3036,文曄,2365000.0,0.38
00403A,2026-05-20,6274,台燿,551000.0,0.38
00403A,2026-05-20,4966,譜瑞-KY,784000.0,0.34
00403A,2026-05-20,3211,順達,1601000.0,0.32
00403A,2026-05-20,2454,聯發科,155000.0,0.29
00403A,2026-05-20,4979,華星光,860000.0,0.28
00403A,2026-05-20,3105,穩懋,957000.0,0.24
00403A,2026-05-20,2049,上銀,1010000.0,0.21
00403A,2026-05-20,2481,強茂,2510000.0,0.19
00403A,2026-05-20,1560,中砂,78000.0,0.03
00403A,2026-05-20,2455,全新,145000.0,0.03
00403A,2026-05-21,2330,台積電,14000000.0,17.09
00403A,2026-05-21,2303,聯電,75500000.0,4.79
00403A,2026-05-21,3017,奇鋐,3140000.0,4.29
00403A,2026-05-21,3037,欣興,8520000.0,4.22
00403A,2026-05-21,2383,台光電,1350000.0,3.46
00403A,2026-05-21,2368,金像電,4390000.0,3.09
00403A,2026-05-21,3711,日月光投控,9940000.0,2.77
00403A,2026-05-21,2345,智邦,1880000.0,2.55
00403A,2026-05-21,2327,國巨*,7801000.0,2.44
00403A,2026-05-21,6669,緯穎,725000.0,2.12
00403A,2026-05-21,2308,台達電,1823000.0,2.03
00403A,2026-05-21,6223,旺矽,560000.0,1.73
00403A,2026-05-21,2344,華邦電,27300000.0,1.7
00403A,2026-05-21,3665,貿聯-KY,1285000.0,1.52
00403A,2026-05-21,8299,群聯,1163000.0,1.49
00403A,2026-05-21,8046,南電,3100000.0,1.48
00403A,2026-05-21,4958,臻鼎-KY,5400000.0,1.39
00403A,2026-05-21,5274,信驊,155000.0,1.39
00403A,2026-05-21,3533,嘉澤,915000.0,1.26
00403A,2026-05-21,2337,旺宏,14232000.0,1.1
00403A,2026-05-21,5347,世界,9911000.0,0.89
00403A,2026-05-21,6515,穎崴,165000.0,0.86
00403A,2026-05-21,3653,健策,430000.0,0.78
00403A,2026-05-21,2360,致茂,630000.0,0.78
00403A,2026-05-21,7769,鴻勁,166000.0,0.7
00403A,2026-05-21,6442,光聖,680000.0,0.66
00403A,2026-05-21,3443,創意,223000.0,0.62
00403A,2026-05-21,3044,健鼎,2300000.0,0.61
00403A,2026-05-21,8996,高力,1040000.0,0.61
00403A,2026-05-21,6147,頎邦,5000000.0,0.61
00403A,2026-05-21,2313,華通,4300000.0,0.61
00403A,2026-05-21,3529,力旺,305000.0,0.59
00403A,2026-05-21,6805,富世達,500000.0,0.5
00403A,2026-05-21,8210,勤誠,680000.0,0.5
00403A,2026-05-21,8358,金居,1700000.0,0.46
00403A,2026-05-21,3081,聯亞,320000.0,0.45
00403A,2026-05-21,2454,聯發科,222000.0,0.43
00403A,2026-05-21,3583,辛耘,900000.0,0.42
00403A,2026-05-21,6274,台燿,551000.0,0.4
00403A,2026-05-21,3036,文曄,2365000.0,0.38
00403A,2026-05-21,4966,譜瑞-KY,784000.0,0.34
00403A,2026-05-21,3211,順達,1601000.0,0.31
00403A,2026-05-21,2882,國泰金,6985000.0,0.3
00403A,2026-05-21,4979,華星光,860000.0,0.28
00403A,2026-05-21,3105,穩懋,957000.0,0.25
00403A,2026-05-21,2049,上銀,1010000.0,0.21
00403A,2026-05-21,2481,強茂,2510000.0,0.18
00403A,2026-05-21,2455,全新,300000.0,0.06
00403A,2026-05-21,1560,中砂,78000.0,0.03
00403A,2026-05-21,6196,帆宣,110000.0,0.03
