etf,date,code,name,shares,weight
00981A,2026-05-20,2330,台積電,11657000.0,10.28
00981A,2026-05-20,2383,台光電,4723000.0,8.38
00981A,2026-05-20,2345,智邦,6231000.0,5.92
00981A,2026-05-20,2454,聯發科,4263000.0,5.56
00981A,2026-05-20,2308,台達電,6572000.0,5.08
00981A,2026-05-20,6223,旺矽,2169000.0,4.97
00981A,2026-05-20,3017,奇鋐,4925000.0,4.65
00981A,2026-05-20,6669,緯穎,2294000.0,4.55
00981A,2026-05-20,8046,南電,12658000.0,4.23
00981A,2026-05-20,2327,國巨*,18313000.0,3.84
00981A,2026-05-20,3665,貿聯-KY,4703848.0,3.73
00981A,2026-05-20,3037,欣興,10822000.0,3.59
00981A,2026-05-20,2368,金像電,7018000.0,3.5
00981A,2026-05-20,2303,聯電,66190000.0,2.89
00981A,2026-05-20,3711,日月光投控,14998000.0,2.88
00981A,2026-05-20,3653,健策,2267000.0,2.77
00981A,2026-05-20,5274,信驊,422000.0,2.65
00981A,2026-05-20,6274,台燿,4151000.0,2.02
00981A,2026-05-20,6515,穎崴,442000.0,1.62
00981A,2026-05-20,2449,京元電子,12919000.0,1.45
00981A,2026-05-20,6510,精測,930000.0,1.27
00981A,2026-05-20,6805,富世達,1761000.0,1.22
00981A,2026-05-20,8210,勤誠,1967000.0,1.02
00981A,2026-05-20,3533,嘉澤,624000.0,0.59
00981A,2026-05-20,2404,漢唐,1394000.0,0.58
00981A,2026-05-20,6187,萬潤,1224000.0,0.54
00981A,2026-05-20,3264,欣銓,6217000.0,0.52
00981A,2026-05-20,5439,高技,3528000.0,0.52
00981A,2026-05-20,2357,華碩,1622000.0,0.42
00981A,2026-05-20,3008,大立光,329000.0,0.42
00981A,2026-05-20,2313,華通,4124000.0,0.42
00981A,2026-05-20,8996,高力,1034000.0,0.41
00981A,2026-05-20,8358,金居,1980000.0,0.37
00981A,2026-05-20,8150,南茂,11334000.0,0.34
00981A,2026-05-20,4966,譜瑞-KY,1036000.0,0.32
00981A,2026-05-20,6278,台表科,3734000.0,0.31
00981A,2026-05-20,1590,亞德客-KY,530000.0,0.3
00981A,2026-05-20,6147,頎邦,3201000.0,0.28
00981A,2026-05-20,6415,矽力*-KY,1038000.0,0.21
00981A,2026-05-20,3443,創意,96000.0,0.18
00981A,2026-05-20,6191,精成科,3988000.0,0.15
00981A,2026-05-20,3036,文曄,1200000.0,0.14
00981A,2026-05-20,3376,新日興,1741000.0,0.14
00981A,2026-05-20,2481,強茂,2056000.0,0.11
00981A,2026-05-20,3217,優群,874000.0,0.07
00981A,2026-05-20,2002,中鋼,5163000.0,0.04
00981A,2026-05-20,1319,東陽,511000.0,0.02
00981A,2026-05-20,3661,世芯-KY,1000.0,0.0
00981A,2026-05-20,1815,富喬,107000.0,0.0
00981A,2026-05-20,2439,美律,18000.0,0.0
00981A,2026-05-20,2317,鴻海,1000.0,0.0
00981A,2026-05-20,5347,世界,1000.0,0.0
00981A,2026-05-21,2330,台積電,11657000.0,9.93
00981A,2026-05-21,2383,台光電,4723000.0,8.46
00981A,2026-05-21,2345,智邦,6231000.0,5.9
00981A,2026-05-21,2454,聯發科,4263000.0,5.78
00981A,2026-05-21,2308,台達電,6572000.0,5.09
00981A,2026-05-21,6669,緯穎,2344000.0,4.78
00981A,2026-05-21,3017,奇鋐,4925000.0,4.69
00981A,2026-05-21,6223,旺矽,2169000.0,4.68
00981A,2026-05-21,8046,南電,12658000.0,4.21
00981A,2026-05-21,2327,國巨*,18313000.0,4.0
00981A,2026-05-21,3665,貿聯-KY,4703848.0,3.87
00981A,2026-05-21,3037,欣興,10822000.0,3.74
00981A,2026-05-21,2368,金像電,7018000.0,3.44
00981A,2026-05-21,2303,聯電,66190000.0,2.93
00981A,2026-05-21,3711,日月光投控,14998000.0,2.92
00981A,2026-05-21,3653,健策,2267000.0,2.88
00981A,2026-05-21,5274,信驊,422000.0,2.65
00981A,2026-05-21,6274,台燿,4151000.0,2.1
00981A,2026-05-21,6515,穎崴,442000.0,1.6
00981A,2026-05-21,2449,京元電子,12919000.0,1.41
00981A,2026-05-21,6805,富世達,1761000.0,1.22
00981A,2026-05-21,6510,精測,930000.0,1.19
00981A,2026-05-21,8210,勤誠,1967000.0,1.0
00981A,2026-05-21,3533,嘉澤,772000.0,0.74
00981A,2026-05-21,2404,漢唐,1394000.0,0.59
00981A,2026-05-21,3264,欣銓,6217000.0,0.52
00981A,2026-05-21,6187,萬潤,1224000.0,0.51
00981A,2026-05-21,5439,高技,3528000.0,0.51
00981A,2026-05-21,3008,大立光,329000.0,0.43
00981A,2026-05-21,8996,高力,1034000.0,0.42
00981A,2026-05-21,2313,華通,4124000.0,0.41
00981A,2026-05-21,8358,金居,1980000.0,0.38
00981A,2026-05-21,8150,南茂,11334000.0,0.33
00981A,2026-05-21,6278,台表科,3734000.0,0.32
00981A,2026-05-21,4966,譜瑞-KY,1036000.0,0.31
00981A,2026-05-21,1590,亞德客-KY,530000.0,0.29
00981A,2026-05-21,6147,頎邦,3201000.0,0.27
00981A,2026-05-21,6415,矽力*-KY,1038000.0,0.22
00981A,2026-05-21,3443,創意,96000.0,0.19
00981A,2026-05-21,6191,精成科,3988000.0,0.15
00981A,2026-05-21,3376,新日興,1741000.0,0.14
00981A,2026-05-21,3036,文曄,1200000.0,0.13
00981A,2026-05-21,2481,強茂,2056000.0,0.1
00981A,2026-05-21,2357,華碩,273000.0,0.07
00981A,2026-05-21,3217,優群,874000.0,0.07
00981A,2026-05-21,6271,同欣電,686000.0,0.05
00981A,2026-05-21,2002,中鋼,5163000.0,0.04
00981A,2026-05-21,1319,東陽,511000.0,0.02
00981A,2026-05-21,3661,世芯-KY,1000.0,0.0
00981A,2026-05-21,1815,富喬,107000.0,0.0
00981A,2026-05-21,2439,美律,18000.0,0.0
00981A,2026-05-21,2317,鴻海,1000.0,0.0
00981A,2026-05-21,5347,世界,1000.0,0.0
00981A,2026-05-22,2330,台積電,11657000.0,9.66
00981A,2026-05-22,2383,台光電,4723000.0,8.69
00981A,2026-05-22,2454,聯發科,4263000.0,6.05
00981A,2026-05-22,2345,智邦,6231000.0,5.66
00981A,2026-05-22,2308,台達電,6572000.0,5.06
00981A,2026-05-22,6223,旺矽,2169000.0,4.81
00981A,2026-05-22,6669,緯穎,2344000.0,4.76
00981A,2026-05-22,3017,奇鋐,4925000.0,4.61
00981A,2026-05-22,8046,南電,12658000.0,4.35
00981A,2026-05-22,2327,國巨*,18313000.0,4.23
00981A,2026-05-22,3037,欣興,10822000.0,3.86
00981A,2026-05-22,3665,貿聯-KY,4703848.0,3.85
00981A,2026-05-22,2368,金像電,7018000.0,3.43
00981A,2026-05-22,3711,日月光投控,14998000.0,3.09
00981A,2026-05-22,3653,健策,2267000.0,3.05
