etf,date,code,name,shares,weight
00999A,2026-05-20,2330,台灣積體電路製造,506000,6.76
00999A,2026-05-20,2308,台達電子工業,347000,4.06
00999A,2026-05-20,2357,華碩電腦,773000,3.02
00999A,2026-05-20,2383,台光電子材料,100000,2.69
00999A,2026-05-20,1477,聚陽實業,2041000,2.66
00999A,2026-05-20,2618,長榮航空,11135000,2.33
00999A,2026-05-20,2385,群光電子,2867000,2.25
00999A,2026-05-20,2360,致茂電子,172000,2.17
00999A,2026-05-20,2382,廣達電腦,1211000,2.15
00999A,2026-05-20,7769,鴻勁精密,50000,2.13
00999A,2026-05-20,2345,智邦科技,146000,2.1
00999A,2026-05-20,2317,鴻海精密工業,1405000,2.06
00999A,2026-05-20,1319,東陽實業廠,3828000,1.89
00999A,2026-05-20,3017,奇鋐科技,131000,1.87
00999A,2026-05-20,2368,金像電子（股）公司,240000,1.81
00999A,2026-05-20,3526,凡甲科技,823000,1.79
00999A,2026-05-20,6669,緯穎科技服務,59000,1.77
00999A,2026-05-20,3592,瑞鼎科技,1116000,1.75
00999A,2026-05-20,2548,華固建設,2198000,1.66
00999A,2026-05-20,6121,新普科技,724000,1.66
00999A,2026-05-20,2408,南亞科技,971000,1.63
00999A,2026-05-20,5274,信驊科技,17000,1.62
00999A,2026-05-20,8210,勤誠興業,205000,1.61
00999A,2026-05-20,4915,致伸科技,3560000,1.56
00999A,2026-05-20,2393,億光電子工業,3826000,1.48
00999A,2026-05-20,6223,旺矽科技,42000,1.46
00999A,2026-05-20,3665,貿聯控股（BizLink Holding In,119000,1.43
00999A,2026-05-20,6515,穎崴科技,25000,1.39
00999A,2026-05-20,9910,豐泰企業,3149000,1.35
00999A,2026-05-20,2344,華邦電子,1877000,1.32
00999A,2026-05-20,2731,雄獅旅行社,1333000,1.3
00999A,2026-05-20,2059,川湖科技,46000,1.26
00999A,2026-05-20,8299,群聯電子,86000,1.19
00999A,2026-05-20,3711,日月光投資控股,388000,1.13
00999A,2026-05-20,6670,復盛應用科技,669000,1.06
00999A,2026-05-20,9941,裕融企業,2357000,1.06
00999A,2026-05-20,6274,台燿科技,141000,1.04
00999A,2026-05-20,5534,長虹建設,2219000,1.03
00999A,2026-05-20,8454,富邦媒體科技,854000,1.01
00999A,2026-05-20,6805,富世達,96000,1.01
00999A,2026-05-20,3090,日電貿,920000,1.0
00999A,2026-05-20,2727,王品餐飲,694000,0.99
00999A,2026-05-20,9938,台灣百和工業,3662000,0.97
00999A,2026-05-20,9802,鈺齊國際,2003000,0.93
00999A,2026-05-20,2347,聯強國際,1789000,0.91
00999A,2026-05-20,2204,中華汽車工業,2833000,0.9
00999A,2026-05-20,8112,至上電子,1706000,0.88
00999A,2026-05-20,4105,台灣東洋藥品工業,1831000,0.83
00999A,2026-05-20,3045,台灣大哥大,1145000,0.8
00999A,2026-05-20,3653,健策精密工業,42000,0.78
00999A,2026-05-20,6768,志強國際企業,1507000,0.78
00999A,2026-05-20,9907,統一實業,7948000,0.77
00999A,2026-05-20,4904,遠傳電信,1226000,0.73
00999A,2026-05-20,4746,台耀化學,2282000,0.72
00999A,2026-05-20,2454,聯發科技,34000,0.67
00999A,2026-05-20,3227,原相科技,471000,0.64
00999A,2026-05-20,9939,宏全國際,647000,0.49
00999A,2026-05-20,1215,台灣卜蜂企業,522000,0.45
00999A,2026-05-20,9958,世紀鋼鐵結構,626000,0.39
00999A,2026-05-20,6146,耕興,294000,0.39
00999A,2026-05-20,6782,視陽光學,243000,0.28
00999A,2026-05-21,2330,台灣積體電路製造,506000,6.76
00999A,2026-05-21,2308,台達電子工業,347000,4.06
00999A,2026-05-21,2357,華碩電腦,773000,3.02
00999A,2026-05-21,2383,台光電子材料,100000,2.69
00999A,2026-05-21,1477,聚陽實業,2041000,2.66
00999A,2026-05-21,2618,長榮航空,11135000,2.33
00999A,2026-05-21,2385,群光電子,2867000,2.25
00999A,2026-05-21,2360,致茂電子,172000,2.17
00999A,2026-05-21,2382,廣達電腦,1211000,2.15
00999A,2026-05-21,7769,鴻勁精密,50000,2.13
00999A,2026-05-21,2345,智邦科技,146000,2.1
00999A,2026-05-21,2317,鴻海精密工業,1405000,2.06
00999A,2026-05-21,1319,東陽實業廠,3828000,1.89
00999A,2026-05-21,3017,奇鋐科技,131000,1.87
00999A,2026-05-21,2368,金像電子（股）公司,240000,1.81
00999A,2026-05-21,3526,凡甲科技,823000,1.79
00999A,2026-05-21,6669,緯穎科技服務,59000,1.77
00999A,2026-05-21,3592,瑞鼎科技,1116000,1.75
00999A,2026-05-21,2548,華固建設,2198000,1.66
00999A,2026-05-21,6121,新普科技,724000,1.66
00999A,2026-05-21,2408,南亞科技,971000,1.63
00999A,2026-05-21,5274,信驊科技,17000,1.62
00999A,2026-05-21,8210,勤誠興業,205000,1.61
00999A,2026-05-21,4915,致伸科技,3560000,1.56
00999A,2026-05-21,2393,億光電子工業,3826000,1.48
00999A,2026-05-21,6223,旺矽科技,42000,1.46
00999A,2026-05-21,3665,貿聯控股（BizLink Holding In,119000,1.43
00999A,2026-05-21,6515,穎崴科技,25000,1.39
00999A,2026-05-21,9910,豐泰企業,3149000,1.35
00999A,2026-05-21,2344,華邦電子,1877000,1.32
00999A,2026-05-21,2731,雄獅旅行社,1333000,1.3
00999A,2026-05-21,2059,川湖科技,46000,1.26
00999A,2026-05-21,8299,群聯電子,86000,1.19
00999A,2026-05-21,3711,日月光投資控股,388000,1.13
00999A,2026-05-21,6670,復盛應用科技,669000,1.06
00999A,2026-05-21,9941,裕融企業,2357000,1.06
00999A,2026-05-21,6274,台燿科技,141000,1.04
00999A,2026-05-21,5534,長虹建設,2219000,1.03
00999A,2026-05-21,8454,富邦媒體科技,854000,1.01
00999A,2026-05-21,6805,富世達,96000,1.01
00999A,2026-05-21,3090,日電貿,920000,1.0
00999A,2026-05-21,2727,王品餐飲,694000,0.99
00999A,2026-05-21,9938,台灣百和工業,3662000,0.97
00999A,2026-05-21,9802,鈺齊國際,2003000,0.93
00999A,2026-05-21,2347,聯強國際,1789000,0.91
00999A,2026-05-21,2204,中華汽車工業,2833000,0.9
00999A,2026-05-21,8112,至上電子,1706000,0.88
00999A,2026-05-21,4105,台灣東洋藥品工業,1831000,0.83
00999A,2026-05-21,3045,台灣大哥大,1145000,0.8
00999A,2026-05-21,3653,健策精密工業,42000,0.78
00999A,2026-05-21,6768,志強國際企業,1507000,0.78
00999A,2026-05-21,9907,統一實業,7948000,0.77
00999A,2026-05-21,4904,遠傳電信,1226000,0.73
00999A,2026-05-21,4746,台耀化學,2282000,0.72
00999A,2026-05-21,2454,聯發科技,34000,0.67
00999A,2026-05-21,3227,原相科技,471000,0.64
00999A,2026-05-21,9939,宏全國際,647000,0.49
00999A,2026-05-21,1215,台灣卜蜂企業,522000,0.45
00999A,2026-05-21,9958,世紀鋼鐵結構,626000,0.39
00999A,2026-05-21,6146,耕興,294000,0.39
00999A,2026-05-21,6782,視陽光學,243000,0.28
00999A,2026-05-22,2330,台灣積體電路製造,506000,6.66
00999A,2026-05-22,2308,台達電子工業,347000,4.24
00999A,2026-05-22,2357,華碩電腦,773000,3.08
00999A,2026-05-22,2383,台光電子材料,100000,2.92
00999A,2026-05-22,1477,聚陽實業,2041000,2.61
00999A,2026-05-22,2618,長榮航空,11135000,2.31
00999A,2026-05-22,2360,致茂電子,172000,2.28
00999A,2026-05-22,7769,鴻勁精密,50000,2.26
00999A,2026-05-22,2382,廣達電腦,1211000,2.23
00999A,2026-05-22,2385,群光電子,2867000,2.2
00999A,2026-05-22,2345,智邦科技,146000,2.11
00999A,2026-05-22,2317,鴻海精密工業,1405000,2.05
00999A,2026-05-22,3017,奇鋐科技,131000,1.95
00999A,2026-05-22,6669,緯穎科技服務,59000,1.9
00999A,2026-05-22,2368,金像電子（股）公司,240000,1.86
00999A,2026-05-22,1319,東陽實業廠,3828000,1.82
00999A,2026-05-22,2408,南亞科技,971000,1.76
00999A,2026-05-22,3526,凡甲科技,823000,1.76
00999A,2026-05-22,5274,信驊科技,17000,1.76
00999A,2026-05-22,3592,瑞鼎科技,1116000,1.73
00999A,2026-05-22,6121,新普科技,724000,1.61
00999A,2026-05-22,8210,勤誠興業,205000,1.61
00999A,2026-05-22,2548,華固建設,2198000,1.58
00999A,2026-05-22,3665,貿聯控股（BizLink Holding In,119000,1.55
00999A,2026-05-22,4915,致伸科技,3560000,1.5
00999A,2026-05-22,6223,旺矽科技,42000,1.48
00999A,2026-05-22,2393,億光電子工業,3826000,1.46
00999A,2026-05-22,2059,川湖科技,46000,1.37
00999A,2026-05-22,2344,華邦電子,1877000,1.37
00999A,2026-05-22,3711,日月光投資控股,388000,1.27
00999A,2026-05-22,6515,穎崴科技,25000,1.27
00999A,2026-05-22,9910,豐泰企業,3149000,1.26
00999A,2026-05-22,2731,雄獅旅行社,1333000,1.25
00999A,2026-05-22,8299,群聯電子,86000,1.22
00999A,2026-05-22,6274,台燿科技,141000,1.2
00999A,2026-05-22,3090,日電貿,920000,1.15
00999A,2026-05-22,6670,復盛應用科技,669000,1.02
00999A,2026-05-22,6805,富世達,96000,1.01
00999A,2026-05-22,9941,裕融企業,2357000,1.01
00999A,2026-05-22,5534,長虹建設,2219000,0.98
00999A,2026-05-22,8454,富邦媒體科技,854000,0.95
00999A,2026-05-22,2727,王品餐飲,694000,0.94
00999A,2026-05-22,9938,台灣百和工業,3662000,0.92
00999A,2026-05-22,3653,健策精密工業,42000,0.9
00999A,2026-05-22,2204,中華汽車工業,2833000,0.88
00999A,2026-05-22,2347,聯強國際,1789000,0.88
00999A,2026-05-22,9802,鈺齊國際,2003000,0.88
00999A,2026-05-22,8112,至上電子,1706000,0.86
00999A,2026-05-22,4105,台灣東洋藥品工業,1831000,0.79
00999A,2026-05-22,2454,聯發科技,34000,0.77
00999A,2026-05-22,3045,台灣大哥大,1145000,0.75
00999A,2026-05-22,9907,統一實業,7948000,0.74
00999A,2026-05-22,6768,志強國際企業,1507000,0.74
00999A,2026-05-22,4746,台耀化學,2282000,0.7
00999A,2026-05-22,4904,遠傳電信,1226000,0.68
00999A,2026-05-22,3227,原相科技,471000,0.64
00999A,2026-05-22,9939,宏全國際,647000,0.48
00999A,2026-05-22,1215,台灣卜蜂企業,522000,0.44
00999A,2026-05-22,6146,耕興,294000,0.38
00999A,2026-05-22,9958,世紀鋼鐵結構,626000,0.37
00999A,2026-05-22,6782,視陽光學,243000,0.27
00999A,2026-05-23,2330,台灣積體電路製造,506000,6.66
00999A,2026-05-23,2308,台達電子工業,347000,4.24
00999A,2026-05-23,2357,華碩電腦,773000,3.08
00999A,2026-05-23,2383,台光電子材料,100000,2.92
00999A,2026-05-23,1477,聚陽實業,2041000,2.61
00999A,2026-05-23,2618,長榮航空,11135000,2.31
00999A,2026-05-23,2360,致茂電子,172000,2.28
00999A,2026-05-23,7769,鴻勁精密,50000,2.26
00999A,2026-05-23,2382,廣達電腦,1211000,2.23
00999A,2026-05-23,2385,群光電子,2867000,2.2
00999A,2026-05-23,2345,智邦科技,146000,2.11
00999A,2026-05-23,2317,鴻海精密工業,1405000,2.05
00999A,2026-05-23,3017,奇鋐科技,131000,1.95
00999A,2026-05-23,6669,緯穎科技服務,59000,1.9
00999A,2026-05-23,2368,金像電子（股）公司,240000,1.86
00999A,2026-05-23,1319,東陽實業廠,3828000,1.82
00999A,2026-05-23,2408,南亞科技,971000,1.76
00999A,2026-05-23,3526,凡甲科技,823000,1.76
00999A,2026-05-23,5274,信驊科技,17000,1.76
00999A,2026-05-23,3592,瑞鼎科技,1116000,1.73
00999A,2026-05-23,6121,新普科技,724000,1.61
00999A,2026-05-23,8210,勤誠興業,205000,1.61
00999A,2026-05-23,2548,華固建設,2198000,1.58
00999A,2026-05-23,3665,貿聯控股（BizLink Holding In,119000,1.55
00999A,2026-05-23,4915,致伸科技,3560000,1.5
00999A,2026-05-23,6223,旺矽科技,42000,1.48
00999A,2026-05-23,2393,億光電子工業,3826000,1.46
00999A,2026-05-23,2059,川湖科技,46000,1.37
00999A,2026-05-23,2344,華邦電子,1877000,1.37
00999A,2026-05-23,3711,日月光投資控股,388000,1.27
00999A,2026-05-23,6515,穎崴科技,25000,1.27
00999A,2026-05-23,9910,豐泰企業,3149000,1.26
00999A,2026-05-23,2731,雄獅旅行社,1333000,1.25
00999A,2026-05-23,8299,群聯電子,86000,1.22
00999A,2026-05-23,6274,台燿科技,141000,1.2
00999A,2026-05-23,3090,日電貿,920000,1.15
00999A,2026-05-23,6670,復盛應用科技,669000,1.02
00999A,2026-05-23,6805,富世達,96000,1.01
00999A,2026-05-23,9941,裕融企業,2357000,1.01
00999A,2026-05-23,5534,長虹建設,2219000,0.98
